DiseaseID,number
MESH:D002288,466
MESH:D002289,467
MESH:D002291,468
MESH:D002292,469
MESH:D002294,470
MESH:D002295,471
MESH:D002296,472
MESH:D002303,473
MESH:D002305,474
MESH:D002310,475
MESH:D002311,476
MESH:D002312,477
MESH:D002313,478
MESH:D002318,479
MESH:D002340,480
MESH:D002341,481
MESH:D002349,482
MESH:D002357,483
MESH:D002371,484
MESH:D002375,485
MESH:D002385,486
MESH:D002386,487
MESH:D002389,488
MESH:D002418,489
MESH:D002422,490
MESH:D002429,491
MESH:D002446,492
MESH:D002471,493
MESH:D002472,494
MESH:D002481,495
MESH:D002493,496
MESH:D002494,497
MESH:D002524,498
MESH:D002526,499
MESH:D002528,500
MESH:D002532,501
MESH:D002534,502
MESH:D002537,503
MESH:D002538,504
MESH:D002539,505
MESH:D002542,506
MESH:D002543,507
MESH:D002544,508
MESH:D002545,509
MESH:D002546,510
MESH:D002547,511
MESH:D002558,512
MESH:D002559,513
MESH:D002561,514
MESH:D002575,515
MESH:D002577,516
MESH:D002578,517
MESH:D002581,518
MESH:D002583,519
MESH:D002590,520
MESH:D002598,521
MESH:D002607,522
MESH:D002613,523
MESH:D002637,524
MESH:D002639,525
MESH:D002644,526
MESH:D002653,527
MESH:D002658,528
MESH:D002659,529
MESH:D002690,530
MESH:D002754,531
MESH:D002759,532
MESH:D002761,533
MESH:D002764,534
MESH:D002769,535
MESH:D002779,536
MESH:D002780,537
MESH:D002805,538
MESH:D002806,539
MESH:D002813,540
MESH:D002817,541
MESH:D002819,542
MESH:D002822,543
MESH:D002825,544
MESH:D002828,545
MESH:D002832,546
MESH:D002862,547
MESH:D002869,548
MESH:D002873,549
MESH:D002908,550
MESH:D002915,551
MESH:D002916,552
MESH:D002921,553
MESH:D002971,554
MESH:D002972,555
MESH:D003015,556
MESH:D003025,557
MESH:D003027,558
MESH:D003047,559
MESH:D003048,560
MESH:D003057,561
MESH:D003072,562
MESH:D003085,563
MESH:D003092,564
MESH:D003093,565
MESH:D003095,566
MESH:D003103,567
MESH:D003108,568
MESH:D003109,569
MESH:D003110,570
MESH:D003111,571
MESH:D003112,572
MESH:D003117,573
MESH:D003123,574
MESH:D003128,575
MESH:D003130,576
MESH:D003137,577
MESH:D003139,578
MESH:D003161,579
MESH:D003218,580
MESH:D003221,581
MESH:D003229,582
MESH:D003231,583
MESH:D003233,584
MESH:D003240,585
MESH:D003244,586
MESH:D003248,587
MESH:D003251,588
MESH:D003286,589
MESH:D003288,590
MESH:D003291,591
MESH:D003294,592
MESH:D003316,593
MESH:D003318,594
MESH:D003320,595
MESH:D003323,596
MESH:D003324,597
MESH:D003327,598
MESH:D003328,599
MESH:D003329,600
MESH:D003330,601
MESH:D003354,602
MESH:D003371,603
MESH:D003384,604
MESH:D003389,605
MESH:D003394,606
MESH:D003398,607
MESH:D003409,608
MESH:D003424,609
MESH:D003428,610
MESH:D003440,611
MESH:D003449,612
MESH:D003453,613
MESH:D003456,614
MESH:D003457,615
MESH:D003480,616
MESH:D003490,617
MESH:D003536,618
MESH:D003537,619
MESH:D003550,620
MESH:D003551,621
MESH:D003554,622
MESH:D003555,623
MESH:D003556,624
MESH:D003557,625
MESH:D003560,626
MESH:D003586,627
MESH:D003616,628
MESH:D003638,629
MESH:D003639,630
MESH:D003643,631
MESH:D003645,632
MESH:D003655,633
MESH:D003665,634
MESH:D003668,635
MESH:D003677,636
MESH:D003680,637
MESH:D003681,638
MESH:D003693,639
MESH:D003704,640
MESH:D003711,641
MESH:D003715,642
MESH:D003731,643
MESH:D003744,644
MESH:D003773,645
MESH:D003784,646
MESH:D003790,647
MESH:D003865,648
MESH:D003866,649
MESH:D003872,650
MESH:D003873,651
MESH:D003874,652
MESH:D003875,653
MESH:D003876,654
MESH:D003877,655
MESH:D003881,656
MESH:D003882,657
MESH:D003914,658
MESH:D003919,659
MESH:D003920,660
MESH:D003921,661
MESH:D003922,662
MESH:D003923,663
MESH:D003924,664
MESH:D003925,665
MESH:D003926,666
MESH:D003928,667
MESH:D003929,668
MESH:D003930,669
MESH:D003967,670
MESH:D003969,671
MESH:D004065,672
MESH:D004066,673
MESH:D004108,674
MESH:D004169,675
MESH:D004172,676
MESH:D004184,677
MESH:D004195,678
MESH:D004198,679
MESH:D004204,680
MESH:D004211,681
MESH:D004213,682
MESH:D004238,683
MESH:D004239,684
MESH:D004240,685
MESH:D004244,686
MESH:D004283,687
MESH:D004310,688
MESH:D004314,689
MESH:D004342,690
MESH:D004370,691
MESH:D004374,692
MESH:D004379,693
MESH:D004381,694
MESH:D004382,695
MESH:D004387,696
MESH:D004401,697
MESH:D004403,698
MESH:D004404,699
MESH:D004405,700
MESH:D004407,701
MESH:D004408,702
MESH:D004409,703
MESH:D004412,704
MESH:D004413,705
MESH:D004414,706
MESH:D004415,707
MESH:D004417,708
MESH:D004418,709
MESH:D004421,710
MESH:D004422,711
MESH:D004427,712
MESH:D004428,713
MESH:D004437,714
MESH:D004438,715
MESH:D004443,716
MESH:D004444,717
MESH:D004454,718
MESH:D004461,719
MESH:D004476,720
MESH:D004480,721
MESH:D004483,722
